,mu_mean,mu_std,sigma_scale,num_sample,burn_in,chain,MAE,RMSE,Coverage Probability
49,0.005,0.01,0.01,1000,500,4,58.78769782240677,58.79001490057313,0.0
50,0.005,0.01,0.01,1000,1000,2,58.63422996061972,58.63673182652583,0.0
51,0.005,0.01,0.01,1000,1000,4,58.74186072207505,58.74444201319124,0.0
52,0.005,0.01,0.01,2000,500,2,58.86871640538223,58.87138173514006,0.0
53,0.005,0.01,0.01,2000,500,4,58.46135313947733,58.46395790875156,0.0
54,0.005,0.01,0.01,2000,1000,2,58.77544086372778,58.77801204903264,0.0
55,0.005,0.01,0.01,2000,1000,4,58.47900229491885,58.48162375106358,0.0
56,0.005,0.01,0.05,1000,500,2,58.65577803485174,58.65818315151642,0.0
57,0.005,0.01,0.05,1000,500,4,58.29740842855536,58.3000552272838,0.0
58,0.005,0.01,0.05,1000,1000,2,58.63977546461084,58.64226452571235,0.0
59,0.005,0.01,0.05,1000,1000,4,58.70481910364824,58.70712408334535,0.0
60,0.005,0.01,0.05,2000,500,2,58.80291607316334,58.805338356990084,0.0
61,0.005,0.01,0.05,2000,500,4,58.619291435408265,58.621781278391566,0.0
62,0.005,0.01,0.05,2000,1000,2,58.79809005648344,58.800684825274466,0.0
63,0.005,0.01,0.05,2000,1000,4,58.482360006386294,58.48493497256661,0.0
64,0.005,0.01,0.1,1000,500,2,58.769211307314706,58.77175396225781,0.0
65,0.005,0.01,0.1,1000,500,4,58.454367304520254,58.45678724084434,0.0
66,0.005,0.01,0.1,1000,1000,2,58.79525871411196,58.797732618443355,0.0
67,0.005,0.01,0.1,1000,1000,4,58.57686346094682,58.57929631980716,0.0
68,0.005,0.01,0.1,2000,500,2,58.79723506345236,58.79993835808358,0.0
69,0.005,0.01,0.1,2000,500,4,58.62516673234625,58.62780229380605,0.0
70,0.005,0.01,0.1,2000,1000,2,58.5259897684257,58.528614523347535,0.0
71,0.005,0.01,0.1,2000,1000,4,58.79741907355906,58.79969057579498,0.0
72,0.005,0.02,0.01,1000,500,2,58.628420619314106,58.63084984686654,0.0
73,0.005,0.02,0.01,1000,500,4,58.72224298796206,58.72484761351607,0.0
74,0.005,0.02,0.01,1000,1000,2,58.46333181178855,58.46656709454915,0.0
75,0.005,0.02,0.01,1000,1000,4,58.564420138024175,58.56672479264319,0.0
76,0.005,0.02,0.01,2000,500,2,58.69940508318493,58.701851482157885,0.0
77,0.005,0.02,0.01,2000,500,4,58.50815389794496,58.51081440443137,0.0
78,0.005,0.02,0.01,2000,1000,2,58.589949131911006,58.59231171074297,0.0
79,0.005,0.02,0.01,2000,1000,4,58.90790458858169,58.910721770628705,0.0
80,0.005,0.02,0.05,1000,500,2,58.564999322565605,58.567562880944955,0.0
81,0.005,0.02,0.05,1000,500,4,58.66252923810428,58.66498804661886,0.0
82,0.005,0.02,0.05,1000,1000,2,58.81083695365692,58.81353127084468,0.0
83,0.005,0.02,0.05,1000,1000,4,58.61210044590039,58.61481238514938,0.0
84,0.005,0.02,0.05,2000,500,2,58.470632939950214,58.473025114754755,0.0
85,0.005,0.02,0.05,2000,500,4,58.765417933873124,58.767977537876995,0.0
86,0.005,0.02,0.05,2000,1000,2,58.44037545005264,58.4430247432301,0.0
87,0.005,0.02,0.05,2000,1000,4,58.800826846758,58.80339635308013,0.0
88,0.005,0.02,0.1,1000,500,2,58.71579358113084,58.71801276693177,0.0
89,0.005,0.02,0.1,1000,500,4,58.710143550430075,58.71274317511335,0.0
90,0.005,0.02,0.1,1000,1000,2,58.461202420523186,58.4636801836851,0.0
91,0.005,0.02,0.1,1000,1000,4,58.98673299732079,58.989348852068204,0.0
92,0.005,0.02,0.1,2000,500,2,58.77874400987118,58.781365414598106,0.0
93,0.005,0.02,0.1,2000,500,4,58.57240959334558,58.5747854909253,0.0
94,0.005,0.02,0.1,2000,1000,2,58.77744785672853,58.77980552332102,0.0
95,0.005,0.02,0.1,2000,1000,4,58.797796590368975,58.800382635267596,0.0
96,0.01,0.01,0.01,1000,500,2,58.500292601978806,58.503092319042466,0.0
97,0.01,0.01,0.01,1000,500,4,58.86355238277826,58.86616702982087,0.0
98,0.01,0.01,0.01,1000,1000,2,58.65824128133599,58.66080778176992,0.0
99,0.01,0.01,0.01,1000,1000,4,58.96330127796282,58.96591618284765,0.0
100,0.01,0.01,0.01,2000,500,2,58.447569519055605,58.45024783381029,0.0
101,0.01,0.01,0.01,2000,500,4,58.608960565636174,58.61144061403495,0.0
102,0.01,0.01,0.01,2000,1000,2,59.011841160449194,59.014069499928766,0.0
103,0.01,0.01,0.01,2000,1000,4,58.629979213566926,58.6322685190452,0.0
104,0.01,0.01,0.05,1000,500,2,58.64468399534385,58.646989497251354,0.0
105,0.01,0.01,0.05,1000,500,4,58.60516709858597,58.60774739794541,0.0
106,0.01,0.01,0.05,1000,1000,2,58.82746134529571,58.830178383180645,0.0
107,0.01,0.01,0.05,1000,1000,4,58.907755094646596,58.910205495788,0.0
108,0.01,0.01,0.05,2000,500,2,58.632021613175,58.63447170110111,0.0
109,0.01,0.01,0.05,2000,500,4,58.68305893091637,58.685236494320606,0.0
110,0.01,0.01,0.05,2000,1000,2,58.821155593747804,58.82349494536489,0.0
111,0.01,0.01,0.05,2000,1000,4,58.80079500585613,58.80310705643562,0.0
112,0.01,0.01,0.1,1000,500,2,58.68755894338195,58.689964138004584,0.0
113,0.01,0.01,0.1,1000,500,4,58.6505443031635,58.653213524503315,0.0
114,0.01,0.01,0.1,1000,1000,2,58.57102160626398,58.57364199383035,0.0
115,0.01,0.01,0.1,1000,1000,4,58.64800626224416,58.65049295185844,0.0
116,0.01,0.01,0.1,2000,500,2,58.83170475962718,58.83425255758613,0.0
117,0.01,0.01,0.1,2000,500,4,58.77848316203713,58.780619422686875,0.0
118,0.01,0.01,0.1,2000,1000,2,58.897648750611545,58.90004075243763,0.0
119,0.01,0.01,0.1,2000,1000,4,58.605698879938615,58.60816998012499,0.0
120,0.01,0.02,0.01,1000,500,2,58.5724692645002,58.57497858353209,0.0
121,0.01,0.02,0.01,1000,500,4,58.55638764293308,58.55878826046695,0.0
122,0.01,0.02,0.01,1000,1000,2,58.67110997159296,58.67331348937296,0.0
123,0.01,0.02,0.01,1000,1000,4,58.62908433797379,58.63186175817627,0.0
124,0.01,0.02,0.01,2000,500,2,58.76041445699118,58.76276511124571,0.0
125,0.01,0.02,0.01,2000,500,4,58.75244952308961,58.75492380563872,0.0
126,0.01,0.02,0.01,2000,1000,2,58.527624813449364,58.53012800490588,0.0
127,0.01,0.02,0.01,2000,1000,4,58.67049390135751,58.67278721476913,0.0
128,0.01,0.02,0.05,1000,500,2,58.957472737406974,58.95980532311469,0.0
129,0.01,0.02,0.05,1000,500,4,58.60881520664119,58.61106149108928,0.0
130,0.01,0.02,0.05,1000,1000,2,58.64639079354236,58.64886127707704,0.0
131,0.01,0.02,0.05,1000,1000,4,58.83174445963357,58.83418813010173,0.0
132,0.01,0.02,0.05,2000,500,2,58.47973538144604,58.48221753489015,0.0
133,0.01,0.02,0.05,2000,500,4,58.832359062058366,58.83515332515723,0.0
134,0.01,0.02,0.05,2000,1000,2,58.643252359481124,58.6457474715259,0.0
135,0.01,0.02,0.05,2000,1000,4,58.34971518182749,58.352395073956856,0.0
136,0.01,0.02,0.1,1000,500,2,58.96248654068111,58.96488833621898,0.0
137,0.01,0.02,0.1,1000,500,4,58.697502424287705,58.699854628839184,0.0
138,0.01,0.02,0.1,1000,1000,2,58.67346123995557,58.675903366228766,0.0
139,0.01,0.02,0.1,1000,1000,4,58.81726712125621,58.81958085436423,0.0
140,0.01,0.02,0.1,2000,500,2,58.52881747076845,58.53113254656586,0.0
141,0.01,0.02,0.1,2000,500,4,59.03134056706178,59.033856110407804,0.0
142,0.01,0.02,0.1,2000,1000,2,58.986274105824684,58.98866218100314,0.0
143,0.01,0.02,0.1,2000,1000,4,58.74538723812628,58.74782959666324,0.0
