,strategy,params,start_date,end_date,final_portfolio_value,total_trades,winning_trades,losing_trades,average_return,sharpe_ratio
28,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-01-19 14:15:00-05:00,2024-03-25 14:00:00-04:00,990032.0999999997,70,32,38,-0.0009475439169661813,-2.2268391054880525
29,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-01-19 14:15:00-05:00,2024-03-25 14:00:00-04:00,995658.6800000009,67,30,37,-0.00047950739009989916,-2.674388754173548
30,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-02-14 15:15:00-05:00,2024-04-19 15:00:00-04:00,993268.3799999991,68,30,38,-0.0012703045272014542,-3.07829331385332
31,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-02-14 15:15:00-05:00,2024-04-19 15:00:00-04:00,993518.0699999994,65,26,39,-0.0022119690605039814,-4.54909784208534
32,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-02-14 15:15:00-05:00,2024-04-19 15:00:00-04:00,989420.5900000001,58,16,42,-0.0045162631925476536,-5.800003653919509
33,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-06-04 12:30:00-04:00,2024-08-08 15:15:00-04:00,1007167.6699999988,91,58,33,0.0014359102183484343,3.094145112857725
34,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-06-04 12:30:00-04:00,2024-08-08 15:15:00-04:00,1008473.5899999985,86,53,33,0.0016354980502755031,3.00392738036506
35,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-06-04 12:30:00-04:00,2024-08-08 15:15:00-04:00,1016841.7299999989,87,56,31,0.002537589079845041,4.497257018368971
36,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-03-24 12:45:00-04:00,2023-05-30 12:30:00-04:00,1001650.9300000007,82,47,35,0.000725280590230029,0.006359506394388448
37,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-03-24 12:45:00-04:00,2023-05-30 12:30:00-04:00,1004836.57,75,42,33,0.0009435147337688972,-0.5745844513266721
38,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-03-24 12:45:00-04:00,2023-05-30 12:30:00-04:00,1004877.4699999997,70,37,33,0.0011725582755900386,-0.6615256136799994
39,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-04-16 12:15:00-04:00,2024-06-20 12:00:00-04:00,989847.2499999993,73,34,39,-0.000993339757371224,-0.3766979095465798
40,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-04-16 12:15:00-04:00,2024-06-20 12:00:00-04:00,995557.3899999994,75,37,38,0.0007854262239084127,1.579698873475963
41,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-04-16 12:15:00-04:00,2024-06-20 12:00:00-04:00,997568.3399999988,71,33,38,0.0004294965914623626,0.9506400828085178
42,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-06-08 15:15:00-04:00,2023-08-15 11:30:00-04:00,1012002.1500000012,91,54,37,0.0020200628359973456,1.1617426981701837
43,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-06-08 15:15:00-04:00,2023-08-15 11:30:00-04:00,1011549.3199999997,84,53,31,0.0028862085153942597,2.0474291115158754
44,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-06-08 15:15:00-04:00,2023-08-15 11:30:00-04:00,1010810.7400000007,76,45,31,0.0029307881833942444,1.591354823070729
